Id,ClusterId,Lat,Lng,Tags
109,239,54.2509523,18.4819965,"{""name"": ""Pr\u0119gowo"", ""name:adjective"": ""pr\u0119gowski"", ""name:genitive"": ""Pr\u0119gowa"", ""note:pl"": ""do 2013 r. - istnia\u0142y wsie: Pr\u0119gowo Dolne i Pr\u0119gowo G\u00f3rne (nazwy zniesione)"", ""place"": ""village"", ""source"": ""PRNG"", ""teryt:simc"": ""1066946"", ""wikidata"": ""Q4977310"", ""wikipedia"": ""pl:Pr\u0119gowo (wojew\u00f3dztwo pomorskie)""}"
110,240,54.25165,18.48885,"{""addr:city"": ""Pr\u0119gowo"", ""addr:city:simc"": ""1066946"", ""addr:housenumber"": ""21"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Wy\u017cynna"", ""addr:street:sym_ul"": ""25143"", ""source:addr"": ""kolbudy.e-mapa.net""}"
111,242,54.25206,18.50295,"{""addr:city"": ""Bielk\u00f3wko"", ""addr:city:simc"": ""0163831"", ""addr:housenumber"": ""27"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Miechuci\u0144ska"", ""addr:street:sym_ul"": ""39764"", ""source:addr"": ""kolbudy.e-mapa.net""}"
112,243,54.2490933,18.5137038,"{""alt_name"": ""W\u0119\u017ca G\u00f3ra"", ""name"": ""\u017bmijewo"", ""name:genitive"": ""\u017bmijewa"", ""place"": ""isolated_dwelling"", ""source"": ""PRNG"", ""teryt:simc"": ""0163854"", ""wikidata"": ""Q8083314"", ""wikipedia"": ""pl:\u017bmijewo (wojew\u00f3dztwo pomorskie)""}"
113,244,54.25195,18.51778,"{""addr:city"": ""Bielk\u00f3wko"", ""addr:city:simc"": ""0163831"", ""addr:housenumber"": ""21"", ""addr:postcode"": ""83-050"", ""addr:street"": ""G\u00f3rna"", ""addr:street:sym_ul"": ""05948"", ""source:addr"": ""kolbudy.e-mapa.net""}"
114,245,54.25064,18.52609,"{""addr:city"": ""Bielk\u00f3wko"", ""addr:city:simc"": ""0163831"", ""addr:housenumber"": ""28"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Kolonia"", ""addr:street:sym_ul"": ""08851"", ""source:addr"": ""kolbudy.e-mapa.net""}"
115,253,54.2524705,18.5901579,"{""addr:city"": ""Juszkowo"", ""addr:housenumber"": ""11"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Lazurowe Wzg\u00f3rza"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
116,254,54.2528646,18.5976198,"{""addr:city"": ""Juszkowo"", ""addr:housenumber"": ""18"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Zielone Wzg\u00f3rze"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
117,255,54.2499391,18.6079815,"{""railway"": ""level_crossing""}"
118,256,54.251825,18.615989,"{""barrier"": ""cycle_barrier"", ""bicycle"": ""yes"", ""foot"": ""yes"", ""horse"": ""no"", ""motor_vehicle"": ""no""}"
119,257,54.24909,18.61995,"{""addr:city"": ""Pruszcz Gda\u0144ski"", ""addr:city:simc"": ""0934620"", ""addr:housenumber"": ""28"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Zastawna"", ""addr:street:sym_ul"": ""25718"", ""source:addr"": ""mpruszczgdanski.e-mapa.net""}"
120,258,54.2504445,18.6272012,"{""barrier"": ""sally_port"", ""foot"": ""yes""}"
121,259,54.25072,18.63346,"{""addr:city"": ""Pruszcz Gda\u0144ski"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Feliksa Nowowiejskiego"", ""source:addr"": ""mpruszczgdanski.e-mapa.net""}"
122,260,54.2518609,18.6466386,"{""railway"": ""switch"", ""ref"": ""18""}"
123,261,54.2526608,18.6520956,"{""addr:city"": ""Pruszcz Gda\u0144ski"", ""addr:housenumber"": ""12"", ""addr:postcode"": ""83-000"", ""addr:street"": ""Genera\u0142a W\u0142adys\u0142awa Andersa"", ""source:addr"": ""mpruszczgdanski.e-mapa.net""}"
124,266,54.251663,18.688609,"{""addr:city"": ""Roszkowo"", ""addr:city:simc"": ""169325"", ""addr:housenumber"": ""19"", ""addr:street"": ""Le\u015bna"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
125,269,54.25119,18.71811,"{""addr:city"": ""L\u0119dowo"", ""addr:housenumber"": ""29"", ""addr:postcode"": ""83-021"", ""addr:street"": ""Jesionowa"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
126,270,54.2521,18.72039,"{""addr:city"": ""L\u0119dowo"", ""addr:housenumber"": ""27A"", ""addr:postcode"": ""83-021"", ""addr:street"": ""Jesionowa"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
127,273,54.25013,18.74795,"{""addr:housenumber"": ""4"", ""addr:place"": ""Wr\u00f3blewo"", ""addr:postcode"": ""83-022"", ""source:addr"": ""suchydab.e-mapa.net""}"
128,274,54.249741,18.7544383,"{""power"": ""tower""}"
